campus,borough2,school_corrected
MS 137,QUEENS,MS 137 AMERICAS SCHOOL OF HEROES
JOHN ADAMS HS,QUEENS,JOHN ADAMS HIGH SCHOOL
MS 181,BRONX,IS 181 PABLO CASALS
MS 144,BRONX,JHS 144 MICHELANGELO
MS 174,BRONX,
MS 118,BRONX,JHS 118 WILLIAM W NILES
MS 80,BRONX,JHS 080 THE MOSHOLU PARKWAY
MS 72,QUEENS,MS Q072 CATHERINE  COUNT BASIE MIDDLE SCHOOL
MS 127,BRONX,JHS 127 THE CASTLE HILL
MS 57,BROOKLYN,JHS 057 WHITELAW REID
MS 210,QUEENS,JHS 210 ELIZABETH BLACKWELL
MS 246 WALT WHITMAN,BROOKLYN,MS 246 WALT WHITMAN
MS 391,BRONX,
MS 51,BROOKLYN,MS 51 WILLIAM ALEXANDER
MS 203,BRONX,MS 203
MS 131,BRONX,JHS 131 ALBERT EINSTEIN
MS 88,BROOKLYN,JHS 088 PETER ROUGET
MS 101,BRONX,MS X101 EDWARD R BYRNE
MS 45 THOMAS C. GIORDANO,BRONX,JHS 045 THOMAS C GIORDANO
MS 135,BRONX,
MS 2,BROOKLYN,MS 002
MS 61,BROOKLYN,MS 061 GLADSTONE H ATWELL
MS 202,QUEENS,JHS 202 ROBERT H GODDARD
MS 390,BRONX,MS 390
MS 301,BRONX,MS 301 PAUL L DUNBAR
IS 227 LOUIS ARMSTRONG MIDDLE SCHOOL,QUEENS,IS 227 LOUIS ARMSTRONG
WILLIAMSBURG PREPARATORY SCHOOL,BROOKLYN,WILLIAMSBURG PREPARATORY SCHOOL
MS 308,BRONX,
MS 399,BRONX,
MS 158,QUEENS,MS 158 MARIE CURIE
MS 172,QUEENS,IRWIN ALTMAN MIDDLE SCHOOL 172
MS 390,BROOKLYN,
MS 216,QUEENS,JHS 216 GEORGE J RYAN
MS 131,MANHATTAN,MS 131
MS 254,BRONX,IS 254
PS/MS  194,BRONX,PSMS  194
MS 318,BRONX,IS X318 MATH SCIENCE  TECHNOLOGY THROUGH ARTS
MS 394,BROOKLYN,MS K394
MS 302,BRONX,MS 302 LUISA DESSUS CRUZ
MS 266 PARK PLACE COMMUNITY MIDDLE SCHOOL,BROOKLYN,MS K266  PARK PLACE COMMUNITY MIDDLE SCHOOL
MS 180,QUEENS,
MS 136,BROOKLYN,IS 136 CHARLES O DEWEY
MS 74,QUEENS,JHS 074 NATHANIEL HAWTHORNE
MS 222,BRONX,
PS 168 @ MS 203,BRONX,PS 168
MS 255 SALK SCHOOL OF SCIENCE,MANHATTAN,MS 255 SALK SCHOOL OF SCIENCE
MS 67,QUEENS,JHS 067 LOUIS PASTEUR
MS 324 PATRIA,MANHATTAN,MS 324  PATRIA
COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,BRONX,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327
WILLIAMSBURG COLLEGIATE CHARTER SCHOOL,BROOKLYN,WILLIAMSBURG COLLEGIATE CHARTER SCHOOL
GRAND STREET CAMPUS,BROOKLYN,ENTERPRISE BUSINESS AND  TECHNOLOGY HIGH SCHOOL
EVANDER CHILDS HS,BRONX,
THOMAS JEFFERSON HS,BROOKLYN,
THE HS OF FASHION INDUSTRIES,MANHATTAN,HIGH SCHOOL OF FASHION INDUSTRIES THE
JM RAPPORT SCHOOL FOR CAREER DEVELOPMENT,BRONX,J M RAPPORT SCHOOL CAREER DEVELOPMENT
JOHN JAY HS,BROOKLYN,
